MEET,NAME,FX,PH,SR,VT,PB,HB,AA,TEAM,ROUND,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
jpn_aj2,Tanaka Yusuke,13.7,13.466,13.7,14.033,14.966,14.933,84.798,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Matsumi Kazuki,14.433,13.9,13.833,14.3,14.9,14.133,85.499,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Miwa Teppei,13.966,13.6,13.633,14.9,15.233,13.533,84.865,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kawakami Shohei,14.1,13.766,13.4,14.533,14.833,14.533,85.165,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Hasegawa Tsuyoshi,13.966,14.4,13.7,13.833,15,12.7,83.599,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kato Yuto,13.766,14.5,13.766,14.566,14.6,13.1,84.298,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Tanida Masaharu,14.366,13.766,13.566,14.733,14.666,13.8,84.897,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Fujimaki Shunpei,13.533,14.266,13.866,14.4,13.9,14.133,84.098,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Tsunogai Tomoharu,13.933,14.133,12.966,14.466,13.566,13,82.064,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Tanigawa Wataru,14.2,13.333,14.4,14.8,15.1,12.233,84.066,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Tachibana Shiga,14.066,13.866,13.466,14.466,14.533,13.466,83.863,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Ueyama Rentaro,14.2,13.566,14.233,14.666,13.133,13.133,82.931,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Sasaki Fumiya,14.033,14.1,13.033,14.933,14.366,13.133,83.598,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Haruki Minori,13.9,13.2,14.5,14.666,13.933,12.633,82.832,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Aoki Shota,14.6,12.933,13.766,14.333,14.166,12.466,82.264,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kitazono Takeru,13.9,13.8,13.633,13.5,13.566,14.2,81.931,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Tanabe Yui,14.2,14.366,13.366,14.266,14.2,11.466,81.864,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Yunoki Kentaro,13.533,12.266,13.833,14.4,13.633,13.766,81.431,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kaneda Kiichi,14.166,12.4,14.866,14.133,14.133,12.933,82.631,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Fujio Takumi,13.766,14.1,13,14.433,12.966,14,82.265,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kondo Mamoru,13.466,14.233,12.833,14.233,13.1,13.933,81.798,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Tsumura Ryota,13.833,15.033,13.066,14.3,13.533,11.766,81.531,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Ishizawa Hiroto,13.333,14.3,13.066,13.533,14.033,12.533,80.798,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Hirano Shunsuke,13,13.8,13.633,13.866,12.9,12.766,79.965,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kitamura Fumiya,13.233,10.066,13.5,13.7,14.3,13.766,78.565,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Chiba Kenta,14.166,NA,NA,NA,14.5,NA,28.666,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Tanigawa Kakeru,14,NA,NA,NA,13.7,NA,27.7,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Sugimoto Kaito,NA,NA,NA,NA,15.1,NA,15.1,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Maeda Koki,NA,NA,NA,NA,14.5,NA,14.5,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kamoto Yuya,NA,NA,14.633,NA,NA,NA,14.633,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Hidaka Daiki,NA,NA,NA,NA,NA,13.833,13.833,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Ueda NAoki,NA,NA,NA,NA,NA,13.966,13.966,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Takahashi Kazuya,NA,NA,14.633,NA,NA,NA,14.633,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Nagayoshi Yu,NA,13.833,NA,NA,NA,NA,13.833,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Sawamoto Ryuhei,NA,13.666,NA,NA,NA,NA,13.666,JPN,NA,NA,NA,NA,NA,NA,NA
