team,names,total
V3012,NA,255.6125
V4774,NA,255.6125
V4783,NA,255.60833333333335
V1647,NA,255.6
V3895,NA,255.6
V1079,NA,255.6
V367,NA,255.6
V3943,NA,255.6
V4027,NA,255.6
V4570,NA,255.6
V4827,NA,255.6
V692,NA,255.6
V1555,NA,255.5875
V1601,NA,255.5875
V1625,NA,255.5875
V1629,NA,255.5875
V1783,NA,255.5875
V2727,NA,255.5875
V4103,NA,255.5875
V4106,NA,255.5875
V4575,NA,255.5875
V813,NA,255.5875
V914,NA,255.5875
V4594,NA,255.5875
V1127,NA,255.58333333333331
V5971,NA,255.58333333333331
V2080,NA,255.575
V217,NA,255.575
V238,NA,255.575
V243,NA,255.575
V247,NA,255.575
V276,NA,255.575
V2888,NA,255.575
V3893,NA,255.575
V4098,NA,255.575
V4207,NA,255.575
V4363,NA,255.575
V4761,NA,255.575
V5057,NA,255.575
V6161,NA,255.575
V822,NA,255.575
V824,NA,255.575
V825,NA,255.575
V826,NA,255.575
V827,NA,255.575
V892,NA,255.575
V901,NA,255.575
V902,NA,255.575
V903,NA,255.575
V904,NA,255.575
V985,NA,255.575
V2223,NA,255.57083333333333
V4162,NA,255.57083333333333
V429,NA,255.57083333333333
V4593,NA,255.57083333333333
V1111,NA,255.5625
V1135,NA,255.5625
V1137,NA,255.5625
V1138,NA,255.5625
V1139,NA,255.5625
V1140,NA,255.5625
V1692,NA,255.5625
V2526,NA,255.5625
V2965,NA,255.5625
V3883,NA,255.5625
V538,NA,255.5625
V560,NA,255.5625
V574,NA,255.5625
V1346,NA,255.55833333333337
V4672,NA,255.55833333333337
V1726,NA,255.55
V4189,NA,255.55
V531,NA,255.55
V5323,NA,255.55
V1301,NA,255.54583333333335
V5648,NA,255.54583333333335
V1734,NA,255.5375
V4234,NA,255.5375
V1499,NA,255.5375
V1697,NA,255.5375
V1705,NA,255.5375
V2180,NA,255.5375
V277,NA,255.5375
V278,NA,255.5375
V279,NA,255.5375
V390,NA,255.5375
V3927,NA,255.5375
V4046,NA,255.5375
V4146,NA,255.5375
V4407,NA,255.5375
V4572,NA,255.5375
V4678,NA,255.5375
V4777,NA,255.5375
